,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
16719,EPSRC,University of Manchester,Engineering and Physical Sciences,Training Grant,01/10/2016,30/09/2021,1221450.0,,North West
16720,BBSRC,University of Nottingham,School of Life Sciences,Research Grant,01/11/2018,31/03/2021,120000.0,,East Midlands
16721,NERC,University of Edinburgh,Sch of Geosciences,Research Grant,01/02/2017,31/01/2019,40163.0,,Scotland
16722,ESRC,University of Cambridge,Faculty of Education,Studentship,01/10/2018,30/09/2021,0.0,,East of England
16723,EPSRC,University of Cambridge,Materials Science & Metallurgy,Research Grant,01/08/2016,31/07/2019,509515.0,,East of England
16724,STFC,University College London,Physics and Astronomy,Studentship,25/09/2017,30/09/2021,0.0,,London
16725,AHRC,School of Oriental & African Studies,"Languages, Cultures, and Linguistics",Research Grant,01/11/2017,30/10/2019,170961.0,,London
16726,ESRC,King's College London,Psychology,Studentship,01/10/2018,30/09/2021,0.0,,London
16727,ESRC,University of Oxford,Criminology Centre,Studentship,01/10/2017,30/09/2020,0.0,,South East
16728,BBSRC,University of Leicester,Genetics,Studentship,03/10/2016,30/09/2020,0.0,,East Midlands
16729,STFC,The Natural History Museum,Earth Sciences,Training Grant,01/02/2016,31/01/2021,158510.0,,London
16730,EPSRC,University of Warwick,Physics,Training Grant,01/10/2018,30/09/2022,900000.0,,West Midlands
16731,EPSRC,University College London,Institute of Health Informatics,Studentship,02/10/2017,31/08/2021,0.0,,London
16732,BBSRC,University of Reading,Pharmacy,Research Grant,01/10/2017,30/09/2020,472333.0,,South East
16733,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2017,31/03/2021,0.0,,East of England
16734,BBSRC,King's College London,Developmental Neurobiology,Research Grant,01/10/2017,30/04/2021,484722.0,,London
16735,NERC,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Studentship,10/09/2018,09/09/2022,0.0,,Scotland
16736,EPSRC,Imperial College London,Dept of Physics,Studentship,01/09/2018,28/02/2022,0.0,,London
16737,EPSRC,Lancaster University,Chemistry,Studentship,01/10/2017,31/03/2021,0.0,,North West
16738,ESRC,University of Cambridge,Linguistics,Studentship,01/10/2018,30/09/2021,0.0,,East of England
16739,STFC,University of Oxford,Oxford Physics,Research Grant,01/10/2015,31/03/2019,3548611.0,,South East
16740,NERC,The Natural History Museum,Life Sciences,Research Grant,01/02/2015,31/12/2018,60250.0,,London
16741,STFC,University College London,Physics and Astronomy,Studentship,24/09/2018,30/09/2022,0.0,,London
16742,BBSRC,University of Edinburgh,College of Medicine & Vet Medicine,Studentship,01/07/2017,30/06/2020,0.0,,Scotland
16743,EPSRC,University College London,Chemistry,Studentship,24/09/2018,22/12/2021,0.0,,London
16744,EPSRC,University of Edinburgh,Sch of Mathematics,Training Grant,01/10/2018,30/09/2022,400000.0,,Scotland
16745,ESRC,University College London,Epidemiology and Public Health,Training Grant,01/04/2018,31/03/2020,8357.0,,London
16746,STFC,University of Cambridge,Applied Maths and Theoretical Physics,Studentship,01/10/2018,31/03/2022,0.0,,East of England
16747,BBSRC,University College London,Genetics Evolution and Environment,Studentship,24/09/2018,27/11/2022,0.0,,London
16748,Innovate UK,Spi Lasers UK Limited,,EU-Funded,01/07/2015,30/06/2019,295400.0,,South East
16749,EPSRC,University of York,Mathematics,Studentship,01/10/2016,30/09/2019,0.0,,Yorkshire and The Humber
16750,EPSRC,University of Edinburgh,Sch of Chemistry,Research Grant,01/07/2017,30/06/2020,378751.0,,Scotland
16751,NERC,University of Plymouth,Sch of Geog Earth & Environ Sciences,Research Grant,01/04/2018,31/03/2022,213094.0,,South West
16752,EPSRC,University of Bristol,Electrical and Electronic Engineering,Research Grant,01/11/2017,30/04/2019,203129.0,,South West
16753,BBSRC,Birkbeck College,Biological Sciences,Studentship,01/10/2015,30/09/2019,0.0,,London
16754,NERC,University of Liverpool,Geography and Planning,Studentship,01/10/2017,31/03/2021,0.0,,North West
16755,BBSRC,University of East Anglia,Graduate Office,Studentship,01/07/2018,30/06/2022,0.0,,East of England
16756,ESRC,Cardiff University,Cardiff Law School,Fellowship,01/12/2017,31/03/2021,497681.0,,Wales
16757,NERC,University of Oxford,Zoology,Research Grant,30/04/2016,31/08/2018,293434.0,,South East
16758,EPSRC,Imperial College London,Dept of Aeronautics,Research Grant,01/02/2017,31/07/2020,836406.0,,London
16759,MRC,University of Bristol,Social Medicine,Research Grant,01/06/2015,31/05/2020,1378535.0,,South West
16760,Innovate UK,Upside Energy Ltd,,Collaborative R&D,01/09/2018,29/02/2020,1087803.0,,North West
16761,BBSRC,University of Nottingham,School of Medicine,Studentship,01/11/2017,31/10/2020,0.0,,East Midlands
16762,Innovate UK,D.W. Windsor Limited,,Collaborative R&D,01/03/2018,30/04/2019,660057.0,,Unknown
16763,EPSRC,University of Cambridge,Pure Maths and Mathematical Statistics,Studentship,01/10/2018,30/09/2021,0.0,,East of England
16764,EPSRC,University of Manchester,Arts Languages and Cultures,Studentship,01/10/2018,30/09/2021,0.0,,North West
16765,STFC,University of Cambridge,Applied Maths and Theoretical Physics,Studentship,01/10/2018,30/09/2022,0.0,,East of England
16766,STFC,University of Birmingham,School of Physics and Astronomy,Fellowship,01/03/2016,28/02/2021,491913.0,,West Midlands
16767,ESRC,Cardiff University,Sch of Social Sciences,Fellowship,01/10/2018,30/09/2019,93910.0,,Wales
16768,EPSRC,University of Oxford,Computer Science,Studentship,03/10/2016,31/03/2020,0.0,,South East
16769,NERC,University of Exeter,Politics,Research Grant,01/02/2017,31/07/2022,4118113.0,,South West
16770,EPSRC,University of Leeds,School of Psychology,Research Grant,01/09/2017,31/08/2020,570919.0,,Yorkshire and The Humber
16771,STFC,University of Hertfordshire,"School of Physics, Astronomy and Maths",Training Grant,01/10/2017,30/09/2021,223617.0,,East of England
16772,MRC,University of Glasgow,,Intramural,01/04/2015,30/03/2020,,1628000.0,Scotland
16773,EPSRC,Brunel University,Computer Science,Research Grant,01/09/2015,31/12/2018,332690.0,,London
16774,Innovate UK,Entrust Microgrid Llp,,Feasibility Studies,01/12/2017,28/02/2019,68000.0,,North West
16775,STFC,University of Oxford,Oxford Physics,Research Grant,01/10/2018,31/03/2019,59140.0,,South East
16776,EPSRC,University of Bristol,Mechanical Engineering,Studentship,10/09/2018,09/03/2022,0.0,,South West
16777,NERC,University of Southampton,Sch of Geography & Environmental Sci,Research Grant,01/12/2016,31/01/2021,46902.0,,South East
16778,Innovate UK,Tetronics (International) Limited,,Collaborative R&D,01/02/2015,31/07/2018,549573.0,,South West
16779,EPSRC,University of Surrey,Chemistry,Studentship,25/09/2017,30/09/2020,0.0,,South East
16780,EPSRC,University of Sheffield,Materials Science and Engineering,Fellowship,01/02/2016,31/01/2021,1004315.0,,Yorkshire and The Humber
16781,AHRC,University of Edinburgh,Sch of Divinity,Research Grant,01/09/2015,30/04/2019,495418.0,,Scotland
16782,EPSRC,University of Oxford,Engineering Science,Research Grant,01/01/2018,30/04/2019,100414.0,,South East
16783,MRC,Liverpool School of Tropical Medicine,Clinical Sciences,Studentship,01/10/2018,30/09/2022,0.0,,North West
16784,STFC,University of Sussex,Sch of Mathematical & Physical Sciences,Research Grant,01/04/2018,31/03/2019,100462.0,,South East
16785,AHRC,De Montfort University,School of Humanities,Studentship,01/10/2015,31/10/2019,0.0,,East Midlands
16786,Innovate UK,Honeywell UK Ltd,,BIS-Funded Programmes,01/04/2017,31/12/2020,2195605.0,,South East
16787,ESRC,King's College London,Education and Professional Studies,Studentship,01/10/2017,30/09/2020,0.0,,London
16788,BBSRC,Imperial College London,Life Sciences,Research Grant,01/10/2018,30/09/2021,435007.0,,London
16789,MRC,University of Leeds,School of Medicine,Studentship,01/10/2017,31/03/2021,0.0,,Yorkshire and The Humber
16790,NERC,University of Cambridge,Chemistry,Research Grant,01/01/2016,31/12/2019,362743.0,,East of England
16791,Innovate UK,Carnaudmetalbox Engineering Limited,,Collaborative R&D,01/07/2018,31/12/2020,1201284.0,,Unknown
16792,MRC,University of Leicester,Health Sciences,Fellowship,01/10/2016,30/09/2019,185977.0,,East Midlands
16793,ESRC,Lancaster University,Lancaster Environment Centre,Research Grant,01/10/2017,31/12/2021,5926058.0,,North West
16794,EPSRC,University of Liverpool,Electrical Engineering and Electronics,Research Grant,01/04/2018,31/03/2023,2557654.0,,North West
16795,EPSRC,University of the West of England,Faculty of Environment and Technology,Research Grant,01/06/2017,31/05/2020,727810.0,,South West
16796,BBSRC,University of Birmingham,Sch of Biosciences,Studentship,01/10/2015,30/09/2019,0.0,,West Midlands
16797,MRC,University of Sheffield,Health and Related Research,Fellowship,21/05/2018,20/05/2021,292226.0,,Yorkshire and The Humber
16798,Innovate UK,Themis Bioscience GmbH,,Small Business Research Initiative,01/09/2017,31/07/2020,3000000.0,,South East
16799,Innovate UK,Velcourt Limited,,Collaborative R&D,01/01/2014,31/12/2018,617491.0,,West Midlands
16800,BBSRC,Queen's University of Belfast,Centre for Cancer Res and Cell Biology,Research Grant,01/04/2018,31/03/2021,346536.0,,Northern Ireland
16801,Innovate UK,Sweetgen Limited,,Feasibility Studies,01/04/2018,31/03/2019,69930.0,,London
16802,ESRC,University of East Anglia,International Development,Research Grant,01/07/2016,15/09/2019,436956.0,,East of England
16803,ESRC,Lancaster University,Linguistics and English Language,Fellowship,02/01/2018,01/01/2021,248334.0,,North West
16804,NERC,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,01/01/2016,31/12/2019,276663.0,,North West
16805,BBSRC,Newcastle University,Sch of Natural Sciences & Env Sciences,Research Grant,01/01/2018,31/12/2021,673306.0,,North East
16806,EPSRC,King's College London,Randall Div of Cell and Molecular Biophy,Other Grant,01/12/2013,30/11/2018,3650179.0,,London
16807,BBSRC,University of Birmingham,Institute of Cancer and Genomic Sciences,Research Grant,01/10/2018,30/09/2021,777637.0,,West Midlands
16808,BBSRC,University of Bristol,Clinical Veterinary Science,Research Grant,01/04/2018,31/03/2019,85256.0,,South West
16809,EPSRC,University of Southampton,Optoelectronics Research Centre,Studentship,27/09/2018,26/03/2022,0.0,,South East
16810,NERC,University of Birmingham,Chemical Engineering,Studentship,25/09/2017,01/10/2021,0.0,,West Midlands
16811,NERC,University of Liverpool,Institute of Integrative Biology,Research Grant,01/11/2018,31/10/2021,240675.0,,North West
16812,EPSRC,University of Glasgow,School of Physics and Astronomy,Research Grant,01/02/2016,31/07/2019,393197.0,,Scotland
16813,Innovate UK,Stowood Scientific Instruments Ltd,,Feasibility Studies,01/09/2017,28/02/2019,333218.0,,South East
16814,MRC,University of Birmingham,Institute of Microbiology and Infection,Research Grant,01/09/2017,31/08/2020,594012.0,,West Midlands
16815,STFC,University of Portsmouth,Institute of Cosmology and Gravitation,Studentship,01/10/2017,30/09/2021,0.0,,South East
16816,ESRC,Durham University,Chemistry,Research Grant,08/11/2015,07/11/2018,120083.0,,North East
16817,EPSRC,University of Bath,Computer Science,Studentship,01/10/2017,31/03/2021,0.0,,South West
16818,EPSRC,King's College London,Imaging & Biomedical Engineering,Fellowship,01/07/2015,31/12/2019,800694.0,,London
16819,EPSRC,University of Cambridge,Chemical Engineering and Biotechnology,Studentship,01/10/2016,31/03/2020,0.0,,East of England
16820,Innovate UK,Lujam Security Ltd,,GRD Development of Prototype,01/09/2017,28/02/2019,250000.0,,East of England
16821,Innovate UK,Cambridge Carbon Capture Limited,,Feasibility Studies,01/02/2017,30/11/2018,455592.0,,East of England
16822,EPSRC,University of Southampton,School of Physics and Astronomy,Studentship,28/09/2017,31/03/2021,0.0,,South East
16823,BBSRC,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,01/03/2018,28/02/2021,724952.0,,North West
16824,Innovate UK,Nestec York Ltd.,,Collaborative R&D,01/08/2015,31/07/2018,202803.0,,South East
16825,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Research Grant,01/10/2016,30/09/2020,901730.0,,London
16826,BBSRC,University College London,Genetics Evolution and Environment,Training Grant,02/10/2017,01/10/2019,36041.0,,London
16827,MRC,University College London,Surgery,Research Grant,01/08/2015,31/07/2019,1417964.0,,London
16828,ESRC,Imperial College London,The Centre for Environmental Policy,Studentship,01/10/2018,30/09/2022,0.0,,London
16829,EPSRC,University College London,Mechanical Engineering,Research Grant,08/01/2014,07/01/2019,23410.0,,London
16830,ESRC,University of Cambridge,Politics and International Studies,Studentship,01/10/2018,30/09/2021,0.0,,East of England
16831,BBSRC,University of Kent,Sch of Biosciences,Research Grant,01/07/2016,30/06/2019,368037.0,,South East
16832,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2017,30/09/2021,0.0,,East of England
16833,BBSRC,University of York,Physics,Research Grant,01/03/2018,28/02/2021,379683.0,,Yorkshire and The Humber
16834,AHRC,London School of Economics & Pol Sci,"Centre for Women, Peace and Security",Research Grant,01/04/2018,31/03/2021,724533.0,,London
16835,ESRC,London School of Economics & Pol Sci,Department of International Development,Fellowship,01/10/2018,30/09/2019,101586.0,,London
16836,EPSRC,University College London,"Bartlett Sch of Env, Energy & Resources",Research Grant,01/09/2015,31/08/2019,1402239.0,,London
16837,BBSRC,University of Warwick,School of Life Sciences,Studentship,01/10/2018,30/09/2022,0.0,,West Midlands
16838,MRC,University of Liverpool,Institute of Infection and Global Health,Studentship,01/10/2017,31/03/2021,0.0,,North West
16839,BBSRC,Imperial College London,Life Sciences,Research Grant,02/11/2015,01/11/2020,404073.0,,London
16840,ESRC,Newcastle University,Geography Politics and Sociology,Studentship,01/10/2018,30/09/2021,0.0,,North East
16841,EPSRC,University of Exeter,Physics,Research Grant,01/05/2018,30/04/2020,101060.0,,South West
16842,AHRC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,01/03/2017,30/04/2020,482051.0,,West Midlands
16843,BBSRC,University of Edinburgh,The Roslin Institute,Studentship,01/10/2015,30/09/2019,0.0,,Scotland
16844,ESRC,University of Leeds,Sch of Geography,Research Grant,19/02/2018,18/08/2020,485878.0,,Yorkshire and The Humber
16845,NERC,University of Exeter,Geography,Research Grant,01/05/2016,31/10/2020,257977.0,,South West
16846,EPSRC,University of Bath,Mathematical Sciences,Studentship,01/10/2018,31/03/2022,0.0,,South West
16847,EPSRC,University of Bristol,Chemistry,Studentship,18/09/2017,17/09/2021,0.0,,South West
16848,EPSRC,University of Oxford,Oxford Chemistry,Studentship,01/01/2018,30/06/2021,0.0,,South East
16849,ESRC,University of Manchester,School of Health Sciences,Studentship,01/10/2016,30/09/2020,0.0,,North West
16850,ESRC,School of Oriental & African Studies,Development Studies,Research Grant,01/12/2015,30/11/2018,392847.0,,London
16851,ESRC,Institute for Financial Management & Res,Small Enterprise Finance Centre (SEFC),Research Grant,23/09/2014,22/07/2018,308975.0,,Outside UK
16852,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2016,30/09/2020,0.0,,South East
16853,ESRC,Monash University,Faculty of Business and Economics,Research Grant,15/05/2016,14/05/2020,572984.0,,Outside UK
16854,EPSRC,University of Warwick,Mathematics,Studentship,03/10/2016,31/03/2020,0.0,,West Midlands
16855,EPSRC,University College London,Electronic and Electrical Engineering,Studentship,01/10/2018,30/09/2022,0.0,,London
16856,ESRC,Open University,Faculty of Arts and Social Sci (FASS),Studentship,01/10/2015,30/09/2021,0.0,,South East
16857,EPSRC,University of Sheffield,Civil and Structural Engineering,Studentship,25/09/2017,24/09/2021,0.0,,Yorkshire and The Humber
16858,BBSRC,University of Cambridge,Veterinary Medicine,Studentship,01/05/2016,30/09/2019,0.0,,East of England
16859,EPSRC,University of Nottingham,Sch of Biosciences,Research Grant,01/12/2013,28/02/2019,4501049.0,,East Midlands
16860,NERC,University of Exeter,Engineering Computer Science and Maths,Studentship,01/10/2015,30/04/2020,0.0,,South West
16861,EPSRC,Swansea University,School of Engineering,Research Grant,01/09/2017,31/08/2020,274761.0,,Wales
16862,EPSRC,University College London,Chemistry,Studentship,05/11/2018,04/11/2022,0.0,,London
16863,ESRC,University of Southampton,Sch of Geography & Environmental Sci,Research Grant,14/02/2017,31/12/2018,185026.0,,South East
16864,NERC,University of Glasgow,School of Geographical & Earth Sciences,Research Grant,04/01/2016,03/01/2019,518355.0,,Scotland
16865,EPSRC,University of Oxford,Materials,Research Grant,01/04/2018,30/09/2019,419893.0,,South East
16866,MRC,University of Nottingham,School of Medicine,Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
